ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
1433   ROE14b   CS29513-014                CR      HB     23_14_24.911     -37_53_6.97      40        14.51    13.8     12.612   12.26    5440   1.55   -2.32   2      BPS_CS_29513-0014                    -2.32    -1.84   
1434   ROE14b   CS29513-015                *       SG     23_14_33.04      -37_36_5.2       50        14.8     14.25    13.33    13.043   6110   3.75   -2.51   1.35   BPS_CS_29513-0015                    -2.63    -2.39   
1435   ROE10    CS29513-031                CR      SG     23_25_11.34      -39_59_28.4      295       15.44    15.09    14.287   14.061   6650   3.7    -2.55   0.8    BPS_CS_29513-0031                    -2.64    -2.36   
1436   ROE14b   CS29513-031                CR      SG     23_25_11.34      -39_59_28.4      295       15.44    15.09    14.287   14.061   6600   4      -2.59   0.75   BPS_CS_29513-0031                    -2.67    -2.37   
1437   ROE10    CS29513-032                CR      SG     23_22_19.094     -39_44_24.32     -216      14.97    14.47    13.358   13.053   5810   3.3    -2.1    1.45   BPS_CS_29513-0032                    -2.08    -1.6    
1438   ROE14b   CS29517-018                *       SG     23_53_37.91      -17_23_10        151       14.94    14.5     13.374   13.043   5680   3.5    -2.94   1.55   BPS_CS_29517-0018                    -2.78    -2.29   
1439   ROE14b   CS29517-042                *       SG     0_5_3.148        -16_22_5.07      -37       14.49    14.1     13.124   12.84    6120   3.75   -2.54   1.4    BPS_CS_29517-0042                    -2.53    -2.28   
1440   LAI08    CS29522-046                *       SG     23_44_59.6       8_46_54          *         13.23    12.74    *        *        6055   3.8    -2.1    1.4    BPS_CS_29522-0046                    -2.08    -1.71   
1441   SIV06    CS29528-041                NO      SG     2_29_25.1        -18_13_30        *         15.02    14.6     13.647   13.308   6150   4      -3.3    1.3    BPS_CS_29528-0041                    -3.3     -2.92   
1444   ROE14b   CS22890-064                CR      SG     15_17_34         2_45_30          -51       15.09    14.7     *        *        5960   3.6    -3.2    1.3    BPS_CS_30306-0117                    -3.12    -2.7    
1446   ROE14b   CS30312-044                *       RG     15_37_7.4        0_32_52          94        14.12    13.34    *        *        4660   1.05   -3.19   1.65   BPS_CS_30312-0044                    -3.22    -2.68   
1451   ROE14b   CS30339-073                *       RG     0_34_52.3        -36_55_16        171       15.29    14.75    *        *        4830   1.55   -3.8    1.5    BPS_CS_30339-0073                    -3.93    -3.48   
1452   CAL14    CS30344-033                *       HB     22_55_31.9       -34_42_59        *         14.61    14.19    *        *        6100   2.7    -2.9    3.2    BPS_CS_30344-0033                    -2.9     -2.68   
1453   ROE14b   CS30492-016                *       RG     21_4_49.76       -40_14_47.9      46        14.34    13.89    12.787   12.402   5570   3.35   -3.4    1.5    BPS_CS_30492-0016                    -3.3     -2.62   
1454   ROE14b   CS22888-014                CR      SG     23_4_15.53       -33_29_44.8      -128      14.84    14.44    13.463   13.176   6020   3.7    -2.69   1.35   BPS_CS_30493-0023                    -2.73    -2.3    
1455   ROE14b   CS30493-071                *       SG     23_16_30.8       -35_34_35.9      -3        13       13.21    12.141   11.775   5700   3.55   -2.46   1.3    BPS_CS_30493-0071                    -2.82    -2.37   
1460   LAI08    CS31085-024                *       MS     0_8_27.943       10_54_19.84      *         14.62    14       12.633   12.27    5949   4.57   -2.7    0.9    BPS_CS_31085-0024                    -2.67    -2.53   
1462   AOK07a   CS29497-034                NO      RG     0_41_39.819      -26_18_54.48     -27       13.338   12.221   10.571   9.996    4900   1.5    -3      2.2    C*_26                                -2.96    -1.67   
1463   BAB05    CS29497-034                CR      RG     0_41_39.819      -26_18_54.48     -27       13.338   12.221   10.571   9.996    4800   1.8    -2.9    1.5    C*_26                                -2.9     -2.2    
1464   SHE03    Car3                       *       RG     0_8_58.436       62_42_56.82      *         12.91    10.94    5.553    4.01     4250   0.2    -1.65   2.2    C*_3                                 -1.63    -1.94   
1465   SHE03    Car12                      *       RG     0_21_45.58       59_14_55.1       *         16       *        6.55     4.571    4300   0.6    -1.41   1.9    Case_520                             -1.39    -1.19   
1467   AOK13    CD-2417504                 *       MS     23_7_20.23       -23_52_35.6      136.6     12.51    12.18    11.121   10.807   6180   4.4    -3.4    1.5    CD-24_17504                          -3.45    -3.16   
1468   ARN05    CD-2417504                 *       MS     23_7_20.23       -23_52_35.6      136.6     12.51    12.18    11.121   10.807   6070   4.2    -3.45   1.8    CD-24_17504                          -3.45    -3.19   
1470   ISH10    CD-2417504                 *       SG     23_7_20.23       -23_52_35.6      136.6     12.51    12.18    11.121   10.807   5821   3.5    -3.66   1.22   CD-24_17504                          -3.66    -2.98   
1471   ISH12    CD-2417504                 *       MS     23_7_20.23       -23_52_35.6      136.6     12.51    12.18    11.121   10.807   6456   4.74   -3.2    1.5    CD-24_17504                          -3.2     -2.93   
1474   NOR01    CD-2417504                 *       SG     23_7_20.23       -23_52_35.6      136.6     12.51    12.18    11.121   10.807   6070   3.6    -3.37   1.4    CD-24_17504                          -3.37    -2.92   
1476   RYA91    G275-4                     *       SG     23_7_20.23       -23_52_35.6      136.6     12.51    12.18    11.121   10.807   6075   4      -3.7    1.5    CD-24_17504                          -3.55    -3.17   
1478   ROE14b   HE0336-2412                *       RG     3_38_41.48424    -24_2_50.2962    118.5     10.54    9.97     8.497    7.959    4950   1.9    -3.02   1.5    CD-24_1782                           -3.05    -2.52   
1480   IVA05    CS29497-030                CR      MS     0_40_47.928      -24_7_33.91      34        12.955   12.656   11.962   11.745   7000   4.1    -2.57   1.9    CD-24_266                            -2.57    -2.15   
1481   PRE00    CS29497-030                *       MS     0_40_47.928      -24_7_33.91      34        12.955   12.656   11.962   11.745   7500   4.2    -2.16   1.75   CD-24_266                            -2.14    -1.76   
1482   ROE14b   CS29497-030                CR      SG     0_40_47.928      -24_7_33.91      34        12.955   12.656   11.962   11.745   7000   4      -2.52   1.6    CD-24_266                            -2.52    -2.17   
1483   SIV04    CS29497-030                CR      SG     0_40_47.928      -24_7_33.91      34        12.955   12.656   11.962   11.745   6650   3.5    -2.7    2      CD-24_266                            -2.77    -2.18   
1484   FUL00    HIP31639                   *       MS     6_37_14.63215    -25_21_39.7973   *         10.29    9.63     8.319    7.855    5300   4.3    -0.5    0.6    CD-25_3416                           -0.6     -0.29   
1485   RUC11    TYC6975009041              *       RG     23_5_50.54974    -25_57_22.2945   -73.7     12.06    11.16    9.48     8.893    4912   1.76   -2.13   2      CD-26_16470                          -2.13    -1.86   
1487   HAN15    HE0054-2542                CR      RG     0_57_18.136      -25_26_9.69      -230      13.57    12.69    11.193   10.645   5300   2.7    -2.5    1.3    CD-26_304                            -2.48    -1.7    
1488   PRE01    CS22942-019                CR      RG     0_57_18.136      -25_26_9.69      -230      13.57    12.69    11.193   10.645   4900   1.8    -2.67   2      CD-26_304                            -2.67    -1.92   
1489   RUC11    TYC6913001551              *       RG     20_8_0.817       -27_59_26.53     -84.14    12.208   10.897   8.517    7.703    4392   0.84   -2.02   1.9    CD-28_16430                          -2.02    -1.77   
1490   ROE14b   HE0056-3022                *       RG     0_58_43.86999    -30_5_57.709     29.7      11.43    10.83    9.331    8.827    4810   1.5    -3.72   1.55   CD-30_298                            -3.77    -3.39   
1491   PRE00    CS29509-027                *       MS     0_50_15.784      -30_59_56.16     58        12.73    12.72    11.649   11.474   7050   4.2    -2.02   2      CD-31_306                            -2.0     -1.53   
1492   ROE14b   CS29509-027                CR      SG     0_50_15.784      -30_59_56.16     58        12.73    12.72    11.649   11.474   6850   3.5    -2.42   1.65   CD-31_306                            -2.42    -1.99   
1493   LI13     TYC7253-632-1              *       RG     13_2_0.55486     -33_9_11.1962    414       11.54    10.39    8.074    7.241    4180   0.4    -2.13   1.65   CD-32_9096                           -2.13    -1.53   
1494   ARN05    HE0317-3301                *       SG     3_19_35.31773    -32_50_43.1424   50.83     11.272   10.902   10.008   9.745    6250   3.7    -3.1    1.8    CD-33_1173                           -3.1     -2.83   
1497   RYA91    HE0317-3301                *       SG     3_19_35.31773    -32_50_43.1424   50.83     11.272   10.902   10.008   9.745    6350   4      -3.29   1.5    CD-33_1173                           -3.14    -2.68   
1498   PRE00    CS30339-013                *       MS     0_14_59.69       -34_12_39.7      -16       13.27    12.9     *        *        7150   4.2    -0.55   2.5    CD-34_53                             -0.53    -0.17   
1499   ARN05    CD-3514849                 *       MS     21_33_49.75243   -35_26_14.2322   93.62     10.97    10.63    9.59     9.293    6060   4.1    -2.55   1.3    CD-35_14849                          -2.55    -2.33   
1502   RUC11    CD-3614418                 *       RG     20_49_23.388     -36_22_39.09     74.5      12.104   10.848   8.588    7.824    4356   0.75   -2.1    2      CD-36_14418                          -2.1     -1.71   
1504   AND10    CD-38245                   *       RG     0_46_36.19483    -37_39_33.55     46.4      12.733   11.929   10.279   9.648    4800   1.5    -4.19   2.2    CD-38_245                            -4.19    -3.94   
1505   CAY04    CD-38245                   NO      RG     0_46_36.19483    -37_39_33.55     46.4      12.733   11.929   10.279   9.648    4800   1.5    -4      2.2    CD-38_245                            -4.2     -4.01   
1506   MCW95    CD-38245                   *       RG     0_46_36.19483    -37_39_33.55     46.4      12.733   11.929   10.279   9.648    4730   1.8    -3.5    1.97   CD-38_245                            -3.99    -3.66   
1507   NOR01    CD-38245                   *       RG     0_46_36.19483    -37_39_33.55     46.4      12.733   11.929   10.279   9.648    4850   1.8    -3.98   2.1    CD-38_245                            -3.98    -3.55   
1509   ROE14b   CD-38245                   *       RG     0_46_36.19483    -37_39_33.55     46.4      12.733   11.929   10.279   9.648    4520   0.65   -4.5    1.8    CD-38_245                            -4.59    -3.93   
1510   RYA96    CD-38245                   *       RG     0_46_36.19483    -37_39_33.55     46.4      12.733   11.929   10.279   9.648    4850   1.5    -3.96   2.4    CD-38_245                            -3.92    -3.46   
1511   RYA96    CD-38245*                  *       RG     0_46_36.19483    -37_39_33.55     46.4      12.733   11.929   10.279   9.648    4850   2      -3.92   2.1    CD-38_245                            -3.96    -3.47   
1513   RUC11    CD-4114740                 *       RG     22_4_3.6268      -40_29_18.916    10        11.82    11.26    9.721    9.213    5219   2.75   -2.38   1.7    CD-41_14740                          -2.38    -2.02   
1514   RUC11    CD-49506                   *       RG     1_49_7.947       -49_11_43.16     92.9      11.944   11.172   9.525    8.96     4936   1.73   -2.65   1.8    CD-49_506                            -2.65    -2.28   
1515   ARN05    CD-711234                  *       MS     16_7_44.633      -71_21_1.37      *         10.81    10.44    9.461    9.114    6190   4.1    -2.55   1.5    CD-71_1234                           -2.55    -2.37   
1517   RYA91    NLTT41891                  *       MS     16_7_44.633      -71_21_1.37      *         10.81    10.44    9.461    9.114    6300   4.3    -2.65   1      CD-71_1234                           -2.5     -2.4    
1519   PRE06    CS22891-184                *       HB     19_26_12.317     -60_34_6.29      28        14.33    13.83    12.574   12.187   5600   2.2    -2.5    2.1    DENIS_J192612.3-603406               -2.59    -2.36   
1520   ROE14b   CS22891-184                *       HB     19_26_12.317     -60_34_6.29      28        14.33    13.83    12.574   12.187   5530   1.6    -2.67   2.05   DENIS_J192612.3-603406               -2.68    -2.32   
1521   PRE06    CS22951-077                *       RG     21_57_53.214     -43_8_8.18       122       14.11    13.61    12.258   11.845   5350   1.75   -2.3    2.1    DENIS_J215753.2-430808               -2.43    -2.16   
1522   ROE14b   CS22951-077                *       RG     21_57_53.214     -43_8_8.18       122       14.11    13.61    12.258   11.845   5290   1.45   -2.54   1.85   DENIS_J215753.2-430808               -2.54    -2.15   
1523   JI16b    Star3                      *       RG     3_34_47.94       -54_5_25         *         *        *        *        *        4900   1.7    -2.91   1.9    DES_J033447.94-540525.0              -2.91    -2.46   
1524   ROE16a   Star1(Ret2-80)             *       RG     3_34_47.94       -54_5_25         *         *        *        *        *        5020   2.09   -2.7    2      DES_J033447.94-540525.0              -2.76    -2.43   
1525   JI16b    Star9                      *       RG     3_34_54          -54_5_58         *         *        *        *        *        5395   3.1    -2.77   1.35   DES_J033454.24-540558.0              -2.77    -2.6    
1526   JI16b    Star8                      *       RG     3_34_57          -54_5_31         *         *        *        *        *        5328   2.85   -2.08   1.5    DES_J033457.57-540531.4              -2.08    -1.84   
1527   JI16b    Star1                      *       RG     3_35_23.85       -54_4_7.5        *         *        *        *        *        4608   1      -3.01   2.4    DES_J033523.85-540407.5              -3.01    -2.55   
1528   ROE16a   Star2                      *       RG     3_35_23.85       -54_4_7.5        *         *        *        *        *        4710   1.22   -2.9    2.85   DES_J033523.85-540407.5              -2.95    -2.57   
1529   JI16b    Star4                      *       RG     3_35_31.14       -54_1_48.3       *         *        *        *        *        4925   1.9    -3.34   1.8    DES_J033531.14-540148.2              -3.34    -2.65   
1530   ROE16a   Star3(Ret2-115)            *       RG     3_35_31.14       -54_1_48.3       *         *        *        *        *        4855   1.63   -3.3    2.4    DES_J033531.14-540148.2              -3.42    -2.61   
1531   JI16b    Star6                      *       RG     3_35_37          -54_4_1          *         *        *        *        *        5170   2.45   -2.73   1.55   DES_J033537.06-540401.2              -2.73    -2.55   
1532   JI16b    Star5                      *       RG     3_35_48          -54_3_49         *         *        *        *        *        5125   2.35   -2.19   1.75   DES_J033548.04-540349.8              -2.19    -2.27   
1533   JI16b    Star7                      *       RG     3_35_56          -54_3_16         *         *        *        *        *        5305   2.95   -3.54   1.65   DES_J033556.28-540316.3              -3.54    -3.0    
1534   JI16b    Star2                      *       RG     3_36_7.75        -54_2_35.6       *         *        *        *        *        4833   1.55   -2.97   2.15   DES_J033607.75-540235.6              -2.97    -2.59   
1535   ROE16a   Star4(Ret2-178)            *       RG     3_36_7.75        -54_2_35.6       *         *        *        *        *        4810   1.5    -2.8    2.15   DES_J033607.75-540235.6              -2.93    -2.59   
1536   ROE14b   G10-54                     *       MS     11_49_48.2       6_8_52.1         59.42     13.18    12.58    11.217   10.763   5210   4.4    -2.3    0.8    G_10-54                              -2.29    -2.17   
1537   FUL00    G97-40                     *       MS     5_26_42.97       9_49_6.2         1.64      14.7     14.24    12.68    12.19    5375   4.7    -1.4    0.8    G_102-1                              -1.55    -1.45   
1538   RYA96    G108-33                    *       SG     6_50_55.55       -1_59_33.9       39.75     13.8     *        11.807   11.473   6100   4      -2.69   1      G_108-33                             -2.69    -2.09   
1539   FUL00    G110-43                    *       MS     7_5_46.33        11_18_35.3       26.34     13.9     12.72    11.586   11.246   5550   4.4    -2      1.6    G_110-34                             -2.17    -1.8    
1540   FUL00    G114-42                    *       MS     9_10_44.88       -3_48_9.31       -86.78    13.281   12.746   11.593   11.193   5700   4.6    -0.9    0.95   G_114-42                             -1.1     -0.91   
1541   FUL00    G116-53                    *       MS     9_47_41.92       33_22_47.6       -113.38   13.74    12.99    11.788   11.411   5600   4.5    -1      0.9    G_116-53                             -1.1     -1.06   
1542   ROE14b   G122-69                    CR      SG     12_3_4.3         47_19_26.2       -102.25   12.95    12.45    11.394   11.071   6010   3.7    -2.5    1.65   G_122-69                             -2.78    -2.43   
1543   ARN05    G126-52                    *       SG     22_4_13.379      19_32_54.45      -241.86   11.22    10.9     10.004   9.719    6210   3.8    -2.44   1.8    G_126-52                             -2.44    -2.19   
1544   CAR02    G139-8                     *       MS     17_1_43.98134    16_9_3.3438      -113.4    11.918   11.47    10.333   10.007   6200   4.5    -2.06   1.02   G_139-8                              -2.04    -2.14   
1545   NOR97a   G139-8                     *       MS     17_1_43.98134    16_9_3.3438      -113.4    11.918   11.47    10.333   10.007   6050   4.1    -2.24   1.5    G_139-8                              -2.24    -2.36   
1546   ROE14b   G25-22                     *       SG     21_14_48.46635   11_0_30.1985     -151.6    12.88    12.32    11.097   10.704   5350   3.95   -2.33   1.15   G_145-28                             -2.33    -1.98   
1547   RYA91    LP624-2                    *       SG     15_57_43         -2_31_24         *         13.3     12.302   *        *        5400   3.5    -2.47   1      G_152-67                             -2.32    -2.09   
1548   ISH10    G154-34                    *       MS     17_55_58.46234   -16_24_32.7324   -207.3    11.98    11.29    9.937    9.461    4975   4.28   -2.77   0.15   G_154-34                             -2.76    -2.27   
1549   ISH12    G154-34                    *       MS     17_55_58.46234   -16_24_32.7324   -207.3    11.98    11.29    9.937    9.461    5599   5      -2.17   0.09   G_154-34                             -2.17    -2.1    
1551   ROE14b   G166-47                    *       SG     14_50_2.545      32_38_56.29      -66.5     12.25    11.98    11.018   10.707   5960   3.7    -2.28   1.5    G_166-47                             -2.46    -2.03   
1553   ISH10    G206-23                    *       SG     18_21_35.84      34_49_2.3        -2.7      12.4     12.09    11.037   10.713   5795   3.64   -2.18   1.2    G_206-23                             -2.18    -1.62   
1554   ROE14b   G214-1                     *       MS     21_47_55.632     33_6_27.19       -119.53   12.35    11.7     10.756   10.393   5370   4.05   -2.29   0.95   G_214-1                              -2.29    -1.99   
1555   ISH10    G238-30                    *       RG     13_17_40.24      64_15_12.4       226.7     13.91    13.3     11.843   11.474   5299   3.39   -3.72   1.19   G_238-30                             -3.77    -2.91   
1556   ISH12    G238-30                    *       MS     13_17_40.24      64_15_12.4       226.7     13.91    13.3     11.843   11.474   6154   5      -2.92   0.6    G_238-30                             -2.92    -2.66   
1558   ROE14b   G238-30                    CR      SG     13_17_40.24      64_15_12.4       226.7     13.91    13.3     11.843   11.474   5740   3.5    -3.4    1.65   G_238-30                             -3.38    -2.84   
1559   ZHA09    G238-30                    *       SG     13_17_40.24      64_15_12.4       226.7     13.91    13.3     11.843   11.474   5490   3.57   -3.44   1.46   G_238-30                             -3.44    -2.72   
1560   ISH10    G25-24                     *       MS     21_16_41.639     -1_18_8.79       42.6      11.99    11.43    10.484   10.13    5594   4.07   -2.02   1.02   G_25-24                              -2.07    -1.75   
1561   ROE14b   G25-24                     *       SG     21_16_41.639     -1_18_8.79       42.6      11.99    11.43    10.484   10.13    5670   3.55   -2.28   1.7    G_25-24                              -2.11    -1.86   
1563   ROE14b   CS22180-014                *       SG     1_34_2.5         -12_41_54.8      32        14.01    13.58    12.489   12.148   5780   3.55   -2.9    1.5    G_272-44                             -2.86    -2.37   
1564   ISH10    LP763-87                   *       SG     23_37_28.509     -13_47_38.77     84.6      12.42    11.929   11.017   10.726   5979   3.69   -2.68   1.47   G_273-90                             -2.69    -2.04   
1565   ISH12    LP763-87                   *       MS     23_37_28.509     -13_47_38.77     84.6      12.42    11.929   11.017   10.726   6543   4.87   -2.26   1.26   G_273-90                             -2.26    -2.03   
1567   AOK14    G39-36                     *       MS     4_48_6.61        33_9_35.8        *         13.6     12.2     10.247   9.538    4575   5      -2      0.3    G_39-36                              -2.09    -1.98   
1568   IVA03    G4-36                      *       MS     2_43_22.05143    13_25_56.9921    221.53    11.989   11.471   10.362   10.012   5975   4.05   -1.94   1.15   G_4-36                               -1.93    -2.14   
1569   ROE14b   G4-36                      *       SG     2_43_22.05143    13_25_56.9921    221.53    11.989   11.471   10.362   10.012   5810   3.65   -2.22   1.35   G_4-36                               -2.17    -2.28   
1570   ARN05    G4-37                      *       MS     2_44_35.08728    8_28_50.1099     -108.38   11.9     11.43    10.324   9.974    6050   4.1    -2.75   1.8    G_4-37                               -2.75    -2.5    
1571   ROE14b   G4-37                      *       SG     2_44_35.08728    8_28_50.1099     -108.38   11.9     11.43    10.324   9.974    6110   3.75   -2.67   1.35   G_4-37                               -2.73    -2.33   
1573   ROE14b   G75-56                     *       SG     3_0_23.028       -5_57_49.48      23.85     12.397   11.95    10.847   10.557   6190   3.85   -2.3    1.45   G_75-56                              -2.35    -2.01   
1574   FUL00    G88-42                     *       MS     7_35_54.591      19_12_14.53      391.29    15.003   14.373   13.023   12.585   5175   4.5    -1.6    0.3    G_88-42                              -1.7     -1.56   
1575   ROE14b   G90-3                      *       SG     7_29_50.8442     32_51_58.3024    29.09     11       10.5     9.254    8.871    5680   3.6    -2.24   1.2    G_90-3                               -2.4     -2.09   
1576   FUL00    G93-1                      *       MS     21_18_32.22      2_36_22.1        -120.83   15.21    14.64    13.32    12.84    5450   4.7    -1.4    0.7    G_93-1                               -1.56    -1.33   
1577   PRE00    CS29527-045                *       SG     0_35_50.895      -17_57_0.57      -204      14.42    14.04    13.431   13.276   7250   4      -2.14   2.5    GD_625                               -2.12    -1.56   
1578   ROE14b   CS29514-007                CR      SG     1_6_40.616       -24_58_42.05     31        14.38    14.01    12.965   12.664   6400   3.85   -2.81   1.75   GD_678                               -2.83    -2.61   
1579   JON05    HD101976                   *       SG     11_43_55.82657   -52_35_58.8129   -13.89    8.92     8.3      7.077    6.698    5554   3.87   -0.49   1.5    HD_101976                            -0.49    -0.37   
1580   JON05    HD102200                   *       MS     11_45_34.23512   -46_3_46.387     160.98    9.13     8.76     7.688    7.383    6037   4.13   -1.23   1.5    HD_102200                            -1.23    -1.06   
1581   FUL00    HIP57939                   *       MS     11_52_58.76931   37_43_7.2343     -98.35    7.2      6.45     4.94     4.37     4950   4.5    -1.3    0.7    HD_103095                            -1.44    -1.19   
1583   FUL00    HIP58229                   *       MS     11_56_36.0251    -21_25_9.8283    168.3     10.554   10.091   9.007    8.655    5875   4.1    -0.8    1.25   HD_103723                            -0.92    -0.78   
1584   FUL00    HIP58357                   *       RG     11_58_0.08062    48_12_12.4401    47.25     9.25     8.4      6.681    6.159    5050   3.4    -0.5    1.2    HD_103912                            -0.63    -0.36   
1587   FUL00    HIP59239                   *       RG     12_9_2.72086     59_1_5.1347      18.64     9.27     8.61     7.152    6.674    5125   2.1    -1.4    1.55   HD_105546                            -1.47    -0.95   
1588   FUL00    HIP59330                   *       MS     12_10_15.87504   54_29_17.3236    -37.3     9.14     8.59     7.414    7.062    5750   4.1    -0.6    1.25   HD_105755                            -0.73    -0.5    
1589   ISH12    HD106373                   *       HB     12_14_13.29124   -28_15_6.5637    83        9.33     8.9      7.782    7.444    6031   1.91   -2.52   2.3    HD_106373                            -2.52    -2.06   
1591   ROE14b   HD106373                   NO      HB     12_14_13.29124   -28_15_6.5637    83        9.33     8.9      7.782    7.444    6040   1.85   -2.6    2.9    HD_106373                            -2.61    -2.09   
1592   FUL00    HIP59750                   *       MS     12_15_10.55731   -10_18_44.6354   4.36      6.57     6.11     5.132    4.839    6200   4.4    -0.6    1.1    HD_106516                            -0.76    -0.41   
1594   ISH10    HD107752                   *       RG     12_22_52.71773   11_36_25.4934    219.8     10.79    10.07    8.252    7.661    4401   0.54   -3.1    1.9    HD_107752                            -3.1     -2.58   
1595   ISH12    HD107752                   *       RG     12_22_52.71773   11_36_25.4934    219.8     10.79    10.07    8.252    7.661    4826   1.61   -2.77   1.85   HD_107752                            -2.77    -2.55   
1597   ZHA09    HD107752                   *       RG     12_22_52.71773   11_36_25.4934    219.8     10.79    10.07    8.252    7.661    4370   0.54   -3.16   1.58   HD_107752                            -3.16    -2.8    
1598   FUL00    HIP60551                   *       MS     12_24_45.88895   38_19_7.4708     -2.39     8.58     8        6.815    6.483    5725   4.4    -0.7    1.05   HD_108076                            -0.84    -0.59   
1599   FUL00    HIP60632                   *       MS     12_25_34.955     1_17_2.2671      154.58    10.09    9.66     8.673    8.354    6200   4.4    -1.5    1.35   HD_108177                            -1.63    -1.24   
1601   FUL00    HIP60719                   *       RG     12_26_36.83451   5_18_9.0355      8         8.633    8.03     6.623    6.153    5100   2.5    -2.2    1.15   HD_108317                            -2.33    -1.88   
1603   ISH12    HD108317                   *       RG     12_26_36.83451   5_18_9.0355      8         8.633    8.03     6.623    6.153    5284   2.94   -2.27   1.46   HD_108317                            -2.27    -1.95   
1605   JON05    LTT13498                   *       RG     12_26_36.83451   5_18_9.0355      8         8.633    8.03     6.623    6.153    5332   2.75   -2.19   1.5    HD_108317                            -2.19    -1.64   
1609   ROE14b   HD108317                   *       RG     12_26_36.83451   5_18_9.0355      8         8.633    8.03     6.623    6.153    5030   2.1    -2.6    1.45   HD_108317                            -2.62    -2.12   
1611   ROE14d   HD108317                   *       RG     12_26_36.83451   5_18_9.0355      8         8.633    8.03     6.623    6.153    5170   2.35   -2.44   1.6    HD_108317                            -2.44    -2.0    
1614   ISH10    HD108577                   *       RG     12_28_16.86316   12_20_41.0849    -111.3    10.18    9.55     7.995    7.46     4840   0.96   -2.37   1.87   HD_108577                            -2.35    -1.81   
1615   ISH12    HD108577                   *       RG     12_28_16.86316   12_20_41.0849    -111.3    10.18    9.55     7.995    7.46     5048   1.55   -2.23   1.94   HD_108577                            -2.23    -1.88   
1617   JOH02a   HD108577                   *       RG     12_28_16.86316   12_20_41.0849    -111.3    10.18    9.55     7.995    7.46     4900   1.1    -2.2    2.1    HD_108577                            -2.36    -1.74   
1618   ZHA09    HD108577                   *       RG     12_28_16.86316   12_20_41.0849    -111.3    10.18    9.55     7.995    7.46     4800   1.13   -2.37   1.8    HD_108577                            -2.37    -1.97   
1620   FUL00    HIP61824                   *       RG     12_40_14.07873   8_31_38.0632     139.6     9.45     8.27     6.125    5.346    4400   0.6    -2.3    2.8    HD_110184                            -2.42    -1.9    
1622   HON04    HD110184                   *       RG     12_40_14.07873   8_31_38.0632     139.6     9.45     8.27     6.125    5.346    4240   0.3    -2.52   2.1    HD_110184                            -2.51    -2.35   
1623   FUL00    HIP62747                   *       RG     12_51_25.19414   -13_29_28.172    21.35     8.78     7.97     6.347    5.786    4825   2.2    -1.4    1.45   HD_111721                            -1.52    -1.0    
1624   JON05    LHS2644                    *       MS     12_52_11.64453   -56_34_27.9936   3.46      9.07     8.46     7.274    6.896    5606   4.36   -0.85   1.5    HD_111777                            -0.85    -0.49   
1625   FUL00    HIP62882                   *       SG     12_53_15.05329   -18_31_19.9996   155       8.91     8.38     7.176    6.768    5600   3.7    -1.1    0.04   HD_111980                            -1.24    -0.78   
1626   FUL00    HIP64115                   *       RG     13_8_25.78882    -7_18_30.4548    77.58     9.611    9.008    6.541    5.887    4650   2.4    -0.6    1.1    HD_114095                            -0.72    -0.29   
1627   FUL00    HIP64426                   *       MS     13_12_19.74268   17_31_1.6396     51.03     7.83     7.29     6.14     5.81     5800   4.1    -0.7    1.25   HD_114762                            -0.8     -0.41   
1630   HON04    HD115444                   *       RG     13_16_42.45849   36_22_52.6988    -27.8     9.77     8.97     7.16     6.607    4720   1.5    -2.85   1.7    HD_115444                            -2.84    -2.48   
1631   JOH02a   HD115444                   *       RG     13_16_42.45849   36_22_52.6988    -27.8     9.77     8.97     7.16     6.607    4500   0.7    -3      2.25   HD_115444                            -3.13    -2.34   
1636   WES00    HD115444                   *       RG     13_16_42.45849   36_22_52.6988    -27.8     9.77     8.97     7.16     6.607    4650   1.5    -2.9    2.1    HD_115444                            -2.96    -2.47   
1637   ROE14b   HD11582                    *       RG     1_53_0.24513     -34_17_36.3753   8         10.27    9.58     8.124    7.652    5020   2.2    -2.03   1.45   HD_11582                             -1.84    -1.48   
1639   JON05    HD116064                   *       MS     13_21_43.79397   -39_18_39.9115   145       9.26     8.81     7.698    7.306    5945   4.28   -1.88   1.5    HD_116064                            -1.88    -1.54   
1640   FUL00    HIP65268                   *       MS     13_22_34.15081   26_6_56.5134     -26.8     8.095    7.666    6.706    6.423    6250   4.1    -0.5    1.5    HD_116316                            -0.65    -0.53   
1641   FUL00    HIP66246                   *       RG     13_34_39.91032   -16_19_22.7028   -100.8    10.1     8.89     6.573    5.724    4400   1      -1.8    2.55   HD_118055                            -1.89    -1.49   
1642   FUL00    HIP66509                   *       MS     13_38_0.47118    19_8_53.1131     -44.92    9.47     8.82     7.553    7.132    5350   4.2    -0.5    0.6    HD_118659                            -0.66    -0.34   
1643   FUL00    HIP66815                   *       MS     13_41_42.68305   -4_1_45.8946     -64.5     9.39     9.158    7.73     7.39     5875   4.5    -0.5    0.95   HD_119173                            -0.62    -0.52   
1644   ISH10    HD119516                   *       HB     13_43_26.72477   15_34_31.0743    -285.5    9.59     9.12     7.771    7.366    5438   1.76   -2.08   2.28   HD_119516                            -2.09    -1.76   
