ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
53     HOL11    HE0013-0522                *       RG     0_16_28.09       -5_5_52          -175.5    13.7     *        11.4     10.919   4900   1.7    -3.24   1.8    2MASS_J00162809-0505519              -3.24    -2.56   
54     ROE14b   CS30339-015                *       SG     0_16_58.11       -33_48_17.6      111       15.68    15.28    14.28    13.965   5840   3.6    -2.86   1.45   2MASS_J00165810-3348175              -3.0     -2.56   
55     HOL11    HE0015+0048                *       RG     0_18_1.43        1_5_8.1          -48.8     14       *        11.512   10.939   4600   0.9    -3.07   1.85   2MASS_J00180143+0105081              -3.08    -2.42   
56     BAR05    HE0017-4838                *       RG     0_19_48.32       -48_21_23.62     26.8      16.774   16.115   14.653   14.122   5149   2.23   -3.23   1.81   2MASS_J00194832-4821236              -3.23    -3.0    
57     PRE06    CS22882-001                *       HB     0_20_25.3        -31_39_4         28        15.22    14.82    13.677   13.317   5950   2.5    -2.3    3.2    2MASS_J00202529-3139040              -2.49    -2.24   
58     ROE14b   CS22882-001                *       HB     0_20_25.3        -31_39_4         28        15.22    14.82    13.677   13.317   5930   1.9    -2.62   3      2MASS_J00202529-3139040              -2.62    -2.23   
61     AND10    BS17570-063                *       MS     0_20_36.19       23_47_37.7       *         14.84    14.51    13.468   13.073   6240   4.8    -2.92   0.5    2MASS_J00203619+2347376              -2.92    -2.86   
62     BON09    BS17570-063                *       MS     0_20_36.19       23_47_37.7       *         14.84    14.51    13.468   13.073   6242   4.75   -2.92   0.5    2MASS_J00203619+2347376              -2.92    -2.86   
65     BAR05    HE0018-1349                *       MS     0_20_52.382      -13_32_29.61     -161.7    16.271   15.743   14.459   14.116   5719   4.62   -2.26   1.73   2MASS_J00205238-1332296              -2.27    -1.98   
66     ROE14b   CS22882-006                *       SG     0_21_59.87       -29_29_26.5      -72       14.55    14.14    13.034   12.737   5800   3.6    -2.66   1.35   2MASS_J00215986-2929265              -2.94    -2.48   
67     ROE14b   CS30339-052                *       HB     0_22_50.14       -34_7_20.7       33        15.79    15.3     14.039   13.569   5580   2.35   -2.67   2.1    2MASS_J00225014-3407207              -2.69    -2.11   
68     BAR05    CS30339-0041               *       HB     0_23_12.931      -37_1_26.71      -32       14.42    13.87    12.654   12.144   5478   2.1    -2.2    2.23   2MASS_J00231293-3701267              -2.21    -1.93   
69     RUC11    RaveJ002330.7-163143       *       RG     0_23_30.7        -16_31_43        -5.65     12.855   12.282   11.018   10.586   5528   3.29   -2.3    1.4    2MASS_J00233067-1631428              -2.3     -2.0    
70     ROE14b   CS30339-046                CR      HB     0_25_21.67       -36_30_24.4      14        15.7     15.31    14.272   14.078   7000   2.55   -2.69   3.15   2MASS_J00252167-3630244              -2.71    -2.37   
71     BAR05    HE0023-4825                *       SG     0_25_50.301      -48_8_27.07      -21.5     14.298   13.83    12.696   12.352   5816   3.63   -2.06   1.45   2MASS_J00255030-4808270              -2.06    -1.86   
73     CAR02    HE0024-2523                *       MS     0_27_27.663      -25_6_28.18      -181.6    15.32    14.91    14.038   13.749   6625   4.3    -2.65   0.58   2MASS_J00272766-2506281              -2.62    -2.04   
74     LUC03    HE0024-2523                CR      MS     0_27_27.663      -25_6_28.18      -181.6    15.32    14.91    14.038   13.749   6625   4.3    -2.72   1.4    2MASS_J00272766-2506281              -2.72    -2.01   
75     BAR05    CS29497-004                *       RG     0_28_6.923       -26_3_4.23       105.1     14.76    14.07    12.491   11.965   5013   2.23   -2.81   1.62   2MASS_J00280692-2603042              -2.81    -2.52   
76     CHR04    CS29497-004                *       RG     0_28_6.923       -26_3_4.23       105.1     14.76    14.07    12.491   11.965   5090   2.4    -2.64   1.6    2MASS_J00280692-2603042              -2.68    -2.39   
78     AND10    CS30339-069                *       SG     0_30_15.95       -35_56_51.2      12        14.9     14.74    13.77    13.45    6240   4      -3.08   1.3    2MASS_J00301595-3556512              -3.08    -2.92   
79     BON09    CS30339-069                *       SG     0_30_15.95       -35_56_51.2      12        14.9     14.74    13.77    13.45    6242   4      -3.08   1.3    2MASS_J00301595-3556512              -3.08    -2.92   
80     ROE14b   CS30339-069                CR      SG     0_30_15.95       -35_56_51.2      12        14.9     14.74    13.77    13.45    5900   3.55   -3.17   1.15   2MASS_J00301595-3556512              -3.5     -3.04   
82     ROE14b   CS22882-030                *       RG     0_30_20.04       -30_20_58.4      25        15.21    14.83    13.901   13.449   5580   3.4    -3.14   1.1    2MASS_J00302004-3020584              -3.47    -2.96   
83     ROE14b   CS22882-012                CR      SG     0_30_22.51       -27_35_27.2      10        15.64    15.26    14.318   14.049   6290   3.8    -2.75   1.4    2MASS_J00302250-2735272              -2.76    -2.39   
84     AOK02d   CS31062-050                CR      RG     0_30_31.069      -12_5_10.88      7.75      13.7     13.05    11.765   11.405   5600   3      -2.32   1.3    2MASS_J00303106-1205108              -2.31    -1.73   
85     JOH04    CS31062-050                *       HB     0_30_31.069      -12_5_10.88      7.75      13.7     13.05    11.765   11.405   5500   2.7    -2.3    1.3    2MASS_J00303106-1205108              -2.41    -1.59   
87     BAR05    HE0029-1839                *       RG     0_32_7.755       -18_22_36.82     -97.8     15.207   14.493   13.067   12.503   5010   2.19   -2.5    1.67   2MASS_J00320775-1822368              -2.5     -2.52   
89     AOK07a   CS31062-041                *       RG     0_35_3.014       -15_54_29.29     -173      14.754   13.934   12.389   11.821   5100   2.2    -2.5    2.3    2MASS_J00350301-1554292              -2.42    -1.9    
90     BAR05    CS31062-041                *       RG     0_35_3.014       -15_54_29.29     -173      14.754   13.934   12.389   11.821   4915   1.83   -2.67   1.84   2MASS_J00350301-1554292              -2.68    -2.37   
91     AOK08    SDSS0036-10                NO      MS     0_36_2.18        -10_43_36.3      -47.2     *        *        14.634   14.388   6500   4.5    -2.5    1.5    2MASS_J00360218-1043362              -2.46    -2.23   
92     BAR05    HE0037-2657                *       RG     0_39_51.778      -26_41_32        -279      14.731   14.038   12.571   12.012   4982   2.21   -3.22   1.8    2MASS_J00395177-2641320              -3.22    -2.97   
93     AOK13    SDSSJ004029.17+160416.2    *       MS     0_40_29.18       16_4_16.3        -75       *        *        14.415   14.029   6360   4.4    -3.29   1.5    2MASS_J00402918+1604163              -3.34    -3.04   
94     BON12    SDSSJ004029+160416         *       SG     0_40_29.18       16_4_16.3        -75       *        *        14.415   14.029   6422   3.93   -3.25   1.58   2MASS_J00402918+1604163              -3.25    -3.02   
95     BAR05    HE0043-2845                *       MS     0_45_55.944      -28_29_17.25     16.4      15.96    15.32    14.171   13.736   5517   4.42   -2.91   1.17   2MASS_J00455594-2829172              -2.91    -2.63   
97     BAR05    HE0044-4023                *       SG     0_46_29.378      -40_7_22.63      346.2     16.65    16.149   14.986   14.521   5694   3.26   -2.56   1.49   2MASS_J00462937-4007226              -2.56    -2.34   
98     BAR05    HE0044-2459                *       RG     0_46_35.876      -24_43_2.25      -155      14.46    13.79    12.45    11.959   5242   2.92   -3.28   1.55   2MASS_J00463587-2443022              -3.28    -2.95   
99     ROE14b   CS22942-002                *       RG     0_46_35.876      -24_43_2.25      -155      14.46    13.79    12.45    11.959   5010   2      -3.53   1.55   2MASS_J00463587-2443022              -3.61    -3.05   
100    BAR05    HE0045-2430                *       RG     0_47_40.558      -24_14_1.94      144.5     15.608   15.019   13.827   13.341   5377   3.25   -1.77   1.67   2MASS_J00474055-2414019              -1.77    -1.83   
101    BAR05    HE0049-5700                *       MS     0_52_6.84        -56_44_37.48     59.8      16.5     15.922   14.969   14.639   5952   4.08   -2.41   1.63   2MASS_J00520684-5644374              -2.4     -2.05   
102    YON13    HE0049-3948                NO      SG     0_52_13.352      -39_32_36.88     190.6     15.7     *        14.43    14.11    6466   3.78   -3.68   0.8    2MASS_J00521335-3932368              -3.68    -3.39   
103    BAR05    HE0051-2304                *       RG     0_53_51.525      -22_47_53.97     -135.6    16.099   15.166   13.481   12.741   4537   1.22   -2.41   1.97   2MASS_J00535152-2247539              -2.44    -2.15   
105    ROE14b   CS22942-011                *       RG     0_54_13          -25_4_33.9       22.53     13.567   12.881   11.458   10.879   4930   1.85   -2.83   1.25   2MASS_J00541299-2504338              -2.88    -2.44   
106    BAR05    HE0054-0657                *       MS     0_57_20.78       -6_40_59.31      51.3      16.037   15.457   14.238   13.783   5908   4.4    -2      1.56   2MASS_J00572078-0640593              -2.0     -1.79   
109    ROE14b   CS22166-016                *       RG     0_58_23.843      -14_47_6.87      -215      13.34    12.75    11.222   10.763   4900   1.75   -3.09   1.5    2MASS_J00582384-1447068              -3.22    -2.53   
110    SKU15    ET0097                     *       RG     0_59_12.099      -33_46_20.87     112.64    *        17.266   15.07    14.43    4383   0.75   -2.02   2.15   2MASS_J00591209-3346208              -2.03    -1.63   
111    GEI05    Star195                    *       RG     0_59_55.684      -33_46_40.02     121.42    18.48    17.233   14.98    14.25    4250   0.2    -2.1    1.8    2MASS_J00595568-3346400              -2.1     -1.43   
112    SHE03    Scl482                     *       RG     0_59_58.277      -33_41_8.74      104.74    18.89    17.679   15.47    14.64    4400   1.1    -1.24   1.7    2MASS_J00595827-3341087              -1.22    -1.17   
113    BAR05    HE0057-4541                *       RG     0_59_59.272      -45_24_53.44     13.4      15.5     14.829   13.376   12.877   5083   2.55   -2.32   1.67   2MASS_J00595927-4524534              -2.31    -2.07   
114    SIQ14    HE0057-4541                *       RG     0_59_59.272      -45_24_53.44     13.4      15.5     14.829   13.376   12.877   5144   2.73   -2.4    1.79   2MASS_J00595927-4524534              -2.34    -1.95   
